COUNT_DATE,VolumeLeg,LegDir,Street2,Location,TOTAL (Cars/Day),Lat,Lng
2005-09-12,San Antonio St,W of,Oakland Av,San Antonio St - W of  Oakland Av,10639,37.351838,-121.848515
2006-06-29,Winchester Bl,N of,Olin St,Winchester Bl - N of  Olin St,37430,37.320975,-121.950159
2006-03-22,Trimble Rd,E of,Orchard Pw,Trimble Rd - E of  Orchard Pw,26640,37.384543,-121.930902
2007-07-26,Palmia Dr,S of,Primrose Dr,Palmia Dr - S of  Primrose Dr,6850,37.240077,-121.806508
2006-01-10,Piedmont Rd,N of,Pinnacle Dr,Piedmont Rd - N of  Pinnacle Dr,6910,37.40314,-121.848597
2006-08-23,Story Rd,E of,Remillard Ct,Story Rd - E of  Remillard Ct,22920,37.328032,-121.860627
2006-10-12,Story Rd,W of,Remillard Ct,Story Rd - W of  Remillard Ct,23540,37.32771,-121.861158
2005-11-14,Stevens Creek Bl,W of,Richfield Dr,Stevens Creek Bl - W of  Richfield Dr,27076,37.323112,-121.984414
2008-01-23,Ruby Av,S of,Tully Rd,Ruby Av - S of  Tully Rd,7022,37.338313,-121.784936
2010-06-02,Santa Clara St,W of,Twenty Fourth St,Santa Clara St - W of  Twenty Fourth St,18894,37.346758,-121.868257
2007-02-27,Taylor St,W of,Sixth St,Taylor St - W of  Sixth St,13210,37.351408,-121.895319
2010-06-01,Santa Teresa Bl,N of,Thornwood Dr,Santa Teresa Bl - N of  Thornwood Dr,46749,37.253474,-121.858893
2006-06-08,Aborn Rd,E of,Serpa Dr,Aborn Rd - E of  Serpa Dr,43650,37.312913,-121.79871
2005-10-25,Saratoga Av,N of,Manzanita Dr,Saratoga Av - N of  Manzanita Dr,43551,37.311766,-121.977322
2010-06-02,Tully Rd,E of,King Rd,Tully Rd - E of  King Rd,43398,37.323061,-121.82487
2010-05-18,Brokaw Rd,W of,Oakland,Brokaw Rd - W of  Oakland,43256,37.382864,-121.897961
2007-07-18,Murphy Av,W of,Deluca Dr,Murphy Av - W of  Deluca Dr,42790,37.385939,-121.888402
